"","ÀÌ¸§","ÆÀ","Á¤·Ä","ÃâÀå","¿ÏÅõ","¿ÏºÀ","¼±¹ß","½Â","ÆÐ","¼¼","È¦µå","ÀÌ´×","½ÇÁ¡","ÀÚÃ¥","Å¸ÀÚ","¾ÈÅ¸","X2Å¸","X3Å¸","È¨·±","º¼³Ý","°í4","»ç±¸","»ïÁø","º¸Å©","ÆøÅõ","ºñÀ²","ºñÀ².1","ºñÀ².2","ºñÀ².3","ºñÀ².4","WAR","WPA"
"111","À±Á¤Çö","21Å°","0.44","10","0","0","0","0","0","0","1","12.1","2","2","53","11","2","0","0","5","0","1","7","0","0","1.46","3.66","1.30","303.8","121.2","0.44","0.08"
"112","¼ÛÀº¹ü","21L","0.43","35","0","0","0","2","2","0","4","37.1","18","17","155","34","7","0","1","13","1","2","19","0","4","4.10","3.79","1.26","105.3","116.0","0.43","0.37"
"113","Àå¹Î±â","21K","0.43","21","0","0","0","2","1","0","2","23.1","11","9","114","13","3","1","1","29","0","4","22","0","2","3.47","6.25","1.80","128.1","71.7","0.43","-0.67"
"114","ÃÖ±Ý°­","21N","0.41","20","0","0","0","2","1","1","0","28.0","14","14","129","29","6","0","4","17","0","2","25","0","3","4.50","5.44","1.64","100.9","83.2","0.41","-0.36"
"115","ÀÓÃ¢¹Î","21N","0.39","46","0","0","0","0","3","0","17","40.1","23","17","178","35","8","0","2","20","1","4","29","0","7","3.79","4.25","1.36","119.7","105.8","0.39","0.23"
"116","±èÀç¿­","21K","0.39","24","0","0","0","1","0","0","0","32.2","18","14","152","28","4","0","4","18","0","4","18","1","1","3.86","5.84","1.41","115.3","76.0","0.39","-0.19"
"117","´ÙÄ«ÇÏ½Ã","21K","0.37","7","0","0","7","1","3","0","0","36.2","22","20","168","46","4","0","4","12","0","4","46","0","4","4.91","3.55","1.58","90.6","125.6","0.37","-0.32"
"118","¹ÚÁø¿ì","21N","0.36","9","0","0","0","0","0","0","1","11.0","2","2","44","6","2","0","0","5","0","1","12","0","1","1.64","2.79","1.00","277.5","160.3","0.36","-0.01"
"119","ÃÖÁö±¤","21»ï","0.35","60","0","0","0","7","1","0","14","51.1","30","28","231","53","11","2","5","27","0","2","49","0","2","4.91","4.38","1.56","91.9","102.9","0.35","0.15"
"210","±èÁø¿µ","21ÇÑ","0.35","20","0","0","0","0","1","0","1","18.1","8","8","81","16","3","0","2","14","2","0","8","0","1","3.93","5.84","1.64","111.5","76.5","0.35","-0.10"
"310","¹ÚÄ¡±¹","21µÎ","0.34","23","0","0","0","2","1","0","8","22.0","11","10","95","21","5","0","2","11","3","1","20","0","1","4.09","3.92","1.46","105.4","109.5","0.34","0.58"
"410","±è±âÁß","21ÇÑ","0.33","15","0","0","12","2","4","0","0","53.2","32","28","260","63","10","1","4","36","2","4","36","2","0","4.70","5.08","1.85","93.3","87.8","0.33","-0.62"
"510","±è¿µ±Ô","21N","0.33","37","0","0","8","5","3","0","6","63.2","40","38","286","69","8","0","10","28","0","1","42","0","3","5.37","5.42","1.52","84.5","83.6","0.33","-0.56"
"610","¸£À§Å°","21S","0.32","4","0","0","4","1","0","0","0","14.1","6","6","56","15","3","0","2","2","0","0","9","0","0","3.77","4.31","1.19","119.1","105.7","0.32","0.17"
"710","±è»ó¼ö","21S","0.32","50","0","0","0","4","3","6","5","58.1","33","33","273","71","8","0","10","30","3","1","44","0","2","5.09","5.49","1.73","88.1","83.0","0.32","-0.04"
"810","Àå¹ÎÀç","21ÇÑ","0.32","12","0","0","6","0","2","0","0","29.1","17","9","128","34","7","0","4","8","1","0","13","0","1","2.76","4.94","1.43","158.6","90.3","0.32","-0.01"
"910","¹®¿ëÀÍ","21»ï","0.31","22","0","0","0","2","0","0","2","22.0","11","11","98","21","3","0","3","10","0","1","19","0","4","4.50","4.88","1.41","100.3","93.0","0.31","0.28"
"1010","È«Á¤¿ì","21»ï","0.31","15","0","0","0","2","0","0","0","15.2","6","6","64","14","3","1","3","4","0","0","12","0","1","3.45","5.06","1.15","131.0","90.5","0.31","-0.22"
"1110","¹è¹Î¼­","21N","0.30","32","0","0","2","1","0","0","0","40.0","26","22","187","51","6","0","3","17","0","4","23","0","3","4.95","4.73","1.70","91.7","95.1","0.30","0.40"
"141","¹èÀçÁØ","21L","0.30","15","0","0","6","2","2","0","0","32.2","17","15","151","42","10","0","1","13","0","3","23","0","1","4.13","3.79","1.68","104.4","115.7","0.30","-0.48"
"151","ÇÏÀçÈÆ","21S","0.30","18","0","0","0","1","0","0","2","18.0","8","8","88","16","0","1","1","16","2","3","8","0","2","4.00","6.00","1.78","112.2","75.2","0.30","-0.11"
"161","Àü»óÇö","21K","0.30","15","0","0","0","1","0","0","7","13.0","6","5","59","15","3","0","1","6","0","0","8","0","1","3.46","4.49","1.62","128.5","99.2","0.30","0.44"
"171","ÀÌ»ó¿µ","21L","0.29","21","0","0","9","1","1","0","0","50.0","28","24","228","48","8","0","7","32","0","8","30","0","3","4.32","6.35","1.60","99.8","67.7","0.29","-0.34"
"181","ÀÓÁ¤È£","21N","0.27","60","0","0","0","0","4","0","12","34.2","20","16","165","37","4","1","2","25","2","3","24","0","0","4.15","4.95","1.79","109.3","91.0","0.27","-0.66"
"191","À±È£¼Ö","21ÇÑ","0.27","55","0","0","0","3","0","0","8","48.2","29","25","214","41","13","2","7","30","1","3","42","0","3","4.62","5.45","1.46","94.7","81.8","0.27","0.63"
"201","ÀåÁö¼ö","21K","0.26","9","0","0","0","0","0","0","0","14.1","6","5","67","9","2","0","1","13","0","3","5","0","1","3.14","6.89","1.54","141.6","64.7","0.26","-0.07"
"211","Áø¸íÈ£","21·Ô","0.25","33","0","0","0","2","2","0","3","24.1","14","13","107","20","5","0","3","14","0","2","24","0","1","4.81","4.94","1.40","94.5","90.5","0.25","-0.65"
"221","±èÁØÇü","21Å°","0.25","14","0","0","0","0","0","0","0","14.1","6","5","67","15","1","0","2","7","0","3","8","0","1","3.14","6.12","1.54","141.2","70.7","0.25","0.07"
"231","±èµ¿Çõ","21Å°","0.25","40","0","0","8","0","5","1","0","82.0","51","47","367","89","21","0","5","34","4","14","30","1","0","5.16","5.00","1.50","85.9","87.6","0.25","-1.57"
"261","¼ÛÀ±ÁØ","21ÇÑ","0.24","17","0","0","0","0","0","0","2","12.2","5","5","55","12","2","0","1","6","1","2","8","0","0","3.55","4.75","1.42","123.3","93.8","0.24","-0.02"
"271","Ã¤Áö¼±","21L","0.24","14","0","0","0","0","0","0","0","17.1","8","6","87","15","5","0","0","20","0","0","18","2","2","3.12","4.72","2.02","138.5","93.9","0.24","-0.10"
"281","¼­µ¿¹Î","21S","0.23","20","0","0","0","0","0","0","0","26.1","15","15","118","27","4","1","5","17","0","1","24","0","1","5.13","6.03","1.67","87.5","75.7","0.23","0.08"
"291","¹èµ¿Çö","21ÇÑ","0.23","20","0","0","4","1","3","0","0","38.0","21","19","177","34","9","1","3","25","0","4","26","2","1","4.50","5.28","1.55","97.3","84.5","0.23","-0.76"
"301","±èÀÎ¹ü","21Å°","0.22","3","0","0","0","0","0","0","0","5.1","0","0","20","3","1","0","0","1","0","0","5","0","0","0.00","2.02","0.75","","218.3","0.22","0.03"
"311","¸ù°í¸Þ¸®","21»ï","0.21","11","0","0","11","2","5","0","0","52.0","33","31","244","46","5","1","3","38","0","4","55","0","4","5.37","4.39","1.62","84.1","102.0","0.21","-0.71"
"321","³ë¼ºÈ£","21»ï","0.21","16","0","0","0","0","2","0","1","19.0","10","10","82","10","1","0","2","14","0","1","19","0","2","4.74","5.07","1.26","95.3","88.9","0.21","-0.57"
"331","ÇÔ´öÁÖ","21L","0.20","16","0","0","3","1","2","0","1","21.0","11","10","98","20","2","1","2","13","1","3","18","0","2","4.29","5.00","1.57","100.6","86.3","0.20","-0.43"
"341","À±¸íÁØ","21µÎ","0.17","45","0","0","0","1","0","0","1","45.2","28","24","208","53","6","0","3","20","2","4","26","1","1","4.73","4.49","1.60","91.2","96.7","0.17","-0.44"
"351","ÀÌÅÂ¾ç","21S","0.17","40","0","0","14","5","10","0","4","103.2","66","66","456","123","23","1","25","32","1","1","62","0","2","5.73","6.20","1.50","78.3","73.8","0.17","-1.18"
"381","±èÁö¿ë","21L","0.17","3","0","0","0","0","0","0","0","4.0","0","0","16","2","2","0","0","1","0","1","5","0","0","0.00","2.33","0.75","","189.5","0.17","0.02"
