"","ÀÌ¸§","ÆÀ","Á¤·Ä","ÃâÀå","¿ÏÅõ","¿ÏºÀ","¼±¹ß","½Â","ÆÐ","¼¼","È¦µå","ÀÌ´×","½ÇÁ¡","ÀÚÃ¥","Å¸ÀÚ","¾ÈÅ¸","X2Å¸","X3Å¸","È¨·±","º¼³Ý","°í4","»ç±¸","»ïÁø","º¸Å©","ÆøÅõ","ºñÀ²","ºñÀ².1","ºñÀ².2","ºñÀ².3","ºñÀ².4","WAR","WPA"
"1132","ÀÓÁØ¼·","21ÇÑ","-0.68","13","0","0","0","0","0","0","0","10.2","18","13","64","19","5","0","1","8","0","4","11","1","1","10.97","5.86","2.53","39.9","76.0","-0.68","-0.23"
"1142","±èÁ¤ºó","21S","-0.72","6","0","0","6","0","1","0","0","17.1","20","19","92","20","1","0","5","20","0","4","21","0","1","9.87","8.81","2.31","45.5","51.9","-0.72","-1.33"
"1152","±èÀ¯½Å","21K","-0.75","15","0","0","11","2","6","0","0","54.1","47","46","249","63","12","1","11","35","0","2","29","0","0","7.62","6.94","1.80","58.4","63.7","-0.75","-1.61"
"1162","³ë°æÀº","21·Ô","-0.80","14","0","0","11","3","5","0","0","56.1","50","46","269","79","16","1","11","24","0","4","35","0","3","7.35","6.12","1.83","61.8","73.1","-0.80","-1.90"
"1172","±èÇö¼ö","21K","-0.86","17","0","0","8","1","4","0","0","45.2","43","40","229","57","16","0","8","36","0","3","27","0","1","7.88","6.99","2.04","56.4","63.4","-0.86","-1.36"
"1182","ÀÌº¸±Ù","21K","-0.88","15","0","0","0","0","1","0","1","10.0","18","17","61","25","4","0","3","6","0","0","7","0","2","15.30","7.63","3.10","29.4","57.9","-0.88","-0.84"
"1192","ÀÌ½Â¹Î","21»ï","-0.88","11","0","0","11","1","4","0","0","35.2","34","34","173","50","6","1","6","18","0","3","22","0","0","8.58","6.05","1.91","52.6","75.1","-0.88","-1.17"
"24","¼ÛÀç¿µ","21·Ô","-0.93","19","0","0","0","0","2","0","1","14.2","23","22","79","24","6","0","3","12","0","1","13","0","1","13.50","6.88","2.46","33.7","65.0","-0.93","-0.48"
"36","¿À¿ø¼®","21S","-1.00","33","0","0","21","7","6","0","2","110.0","84","72","530","125","20","3","11","73","1","10","95","1","2","5.89","5.14","1.80","76.2","88.2","-1.00","-2.81"
"48","ÀÌ½Â°ü","21ÇÑ","-1.04","8","0","0","2","0","2","0","0","5.2","20","17","44","11","3","1","1","16","0","0","5","0","1","27.00","12.33","4.77","16.2","36.3","-1.04","-0.57"
"514","±èÁø¼º","21N","-1.07","42","0","0","0","2","4","1","9","37.2","34","30","174","43","10","0","7","18","3","1","37","0","2","7.17","5.06","1.62","63.3","89.9","-1.07","-1.25"
"61","½ÅÁ¤¶ô","21ÇÑ","-1.08","20","0","0","0","0","2","0","2","20.0","24","19","102","25","6","1","3","15","2","3","14","0","0","8.55","6.28","2.00","51.2","71.0","-1.08","-0.78"
"72","ÀÌ¹Î¿ì","21K","-1.12","16","1","0","12","1","6","0","0","57.0","53","51","275","78","12","3","8","31","0","5","28","1","2","8.05","6.07","1.91","55.2","73.0","-1.12","-1.84"
"84","Àå½ÃÈ¯","21ÇÑ","-1.38","19","1","0","16","0","11","0","1","69.0","62","54","342","87","12","1","4","48","2","6","47","0","7","7.04","4.99","1.96","62.2","89.5","-1.38","-2.32"
"96","À¯Èñ°ü","21µÎ","-1.49","15","0","0","15","4","7","0","0","63.0","57","54","314","107","14","3","10","24","0","3","23","0","0","7.71","5.95","2.08","55.9","71.8","-1.49","-1.98"
