등번호,이름,팀명,포지션,생년월일,학력,키_cm,몸무게_kg
,,10.0,안상현,SSG,사파초-선린중-용마고-SK-상무,,
,,119.0,안인산,NC,군포오금초(안양시리틀)-평촌중-야탑고,,
,,14.0,안주형,삼성,부산중앙초-부산중-부경고-영남대,,
,,57.0,안치영,KT,중동초(원미구리틀)-천안북중-북일고,,
,,3.0,안치홍,한화,구지초(구리리틀)-대치중-서울고-KIA-경찰-KIA-롯데,,
,,64.0,양경식,고양,은봉초(인천남동구리틀)-동산중-제물포고,,
,,68.0,양도근,삼성,인천동막초-상인천중-장안고-강릉영동대,,
,,53.0,양석환,두산,백운초-신일중-신일고-동국대-LG-상무-LG,,
,,53.0,양우현,삼성,남정초-충암중-충암고,,
,,70.0,양현종,키움,대구옥산초-협성경복중-대구고,,
,,119.0,양현진,두산,길주초(안동시리틀)-포항중-영문고,,
,,92.0,어준서,키움,수유초-자양중-경기고,,
,,31.0,엄준현,KIA,서울이수초-언북중-전주고,,
,,104.0,엄태경,LG,광명광덕초(광명시리틀)-휘문중-휘문고,,
,,5.0,여동건,두산,가동초-자양중-서울고,,
,,93.0,여동욱,키움,남도초-협성경복중-대구상원고,,
,,39.0,염승원,고양,고명초-휘문중-휘문고,,
,,6.0,오명진,두산,대전신흥초-한밭중-세광고,,
,,105.0,오서진,KT,수원신곡초-수원북중-유신고,,
,,56.0,오선우,KIA,성동초-자양중-배명고-인하대,,
,,60.0,오선진,키움,화곡초-성남중-성남고-한화-상무-한화-삼성-한화-롯데,,
,,23.0,오스틴,LG,미국 Klein Collins(고),,
,,34.0,오영수,NC,사파초-창원신월중-용마고-NC-상무,,
,,4.0,오윤석,KT,화중초-자양중-경기고-연세대-롯데-상무-롯데,,
,,36.0,오재일,KT,인창초(구리리틀)-구리인창중-야탑고-현대-상무-히어로즈-두산-삼성,,
,,7.0,오정환,KIA,강남초-자양중-경기고,,
,,10.0,오지환,LG,군산초-자양중-경기고,,
,,24.0,오태곤,SK,쌍문초-신월중-청원고-롯데-경찰-롯데-KT,,
,,23.0,오태양,상무,방배초-대치중-청원고-NC-상무,,
,,103.0,오현석,삼성,고명초-홍은중-안산공고,,
,,110.0,우정안,LG,의왕부곡초-서울이수중-덕수고,,
,,33.0,원성준,키움,고명초-서울이수중-경기고-성균관대,,
,,45.0,위즈덤,KIA,미국 Saint Mary's(대),,
,,125.0,유재현,NC,길동초-홍은중-경기상고,,
,,116.0,유준규,KT,군산신풍초-군산중-군산상고,,
,,112.0,유태웅,롯데,효제초-홍은중-성남고-동의대,,
,,64.0,윤대경,삼성,서림초-동인천중-인천고,,
,,9.0,윤도현,KIA,광주화정초-무등중-광주제일고,,
,,91.0,윤동희,롯데,현산초-대원중-야탑고,,
,,63.0,윤정빈,삼성,신도초-부천중-부천고,,
,,35.0,윤준혁,KT,역촌초(은평구리틀)-충암중-충암고,,
,,7.0,이도윤,한화,고명초-배재중-북일고,,
,,15.0,이동호,고양,북일고-인하대,,
,,34.0,이명기,고양,광주대성초-충장중-광주동성고,,
,,107.0,이민석,두산,강동초(해운대리틀)-센텀중-부산공고,,
,,12.0,이상혁,한화,수원영화초(군포시리틀)-수원북중-장안고-강릉영동대,,
,,24.0,이선우,두산,일산신일초(일산서구리틀)-충암중-충암고,,
,,13.0,이성규,삼성,광주대성초-광주동성중-광주동성고-인하대-삼성-경찰,,
,,,이승원,키움,도봉초(노원구리틀)-상명중-덕수고-키움-상무,,
,,109.0,이승준,KT,진말초(와이번스리틀)-소래중-장안고,,
,,60.0,이승현,한화,부천상인초(원미구리틀)-부천중-포항제철고-성균관대,,
,,7.0,이영빈,LG,대전동산초(대전중구리틀)-충남중-세광고-LG-상무,,
,,4.0,이용균,고양,청원고-홍익대,,
,,106.0,이용현,KT,평택부용초(안성시리틀)-평택청담중-강릉고,,
,,17.0,이원석,키움,학강초-광주동성중-광주동성고-(세민디지털대)-롯데-두산-상무-두산-삼성,,
,,13.0,이유찬,두산,동막초-천안북중-북일고-두산-상무,,
,,5.0,이재상,키움,갈산초-성남중-성남고,,
,,52.0,이재원,LG,청주석교초-서울경원중-서울고,,
,,7.0,이재현,삼성,서울이수초-선린중-서울고,,
,,116.0,이주찬,롯데,송수초(해운대리틀)-센텀중-경남고-동의대,,
,,58.0,이주형,키움,이매초-매송중-야탑고-키움-상무,,
,,38.0,이주형,키움,송수초(해운대리틀)-센텀중-경남고-LG,,
,,11.0,이준범,KIA,광주대성초-광주동성중-광주동성고,,
,,106.0,이지성,한화,세류초(장안구리틀)-개군중-라온고,,
,,50.0,이창용,삼성,을지초(노원구리틀)-청량중-신흥고-강릉영동대,,
,,13.0,이창진,KIA,신도초-동인천중-인천고-건국대-롯데-KT-상무-KT,,
,,69.0,이태경,롯데,광주송정동초-무등중-광주제일고-한일장신대,,
,,65.0,이태훈,LG,가동초-덕수중-경동고,,
,,122.0,이한,NC,안산해양초(안산리틀)-수원북중-유신고-NC,,
,,56.0,이해승,삼성,인천서림초-신흥중-인천고-삼성-상무,,
,,118.0,이현준,삼성,연현초-금릉중-비봉고-한양대,,
,,34.0,이호연,KT,광주수창초-진흥중-광주제일고-성균관대-롯데,,
,,30.0,이호준,롯데,대구옥산초-대구경운중-대구상원고,,
,,46.0,임병욱,넥센,신곡초-배명중-덕수고,,
,,3.0,임종성,두산,본리초-대구중-경북고,,
,,29.0,임지열,키움,대전신흥초-건대부중-덕수고-히어로즈-경찰,,
,,1.0,장시현,KIA,서울도곡초-언북중-충암고,,
,,56.0,장준원,KT,경운초(김해시리틀)-개성중-경남고-LG,,
,,102.0,장진혁,한화,광주화정초-충장중-광주제일고-단국대,,
,,93.0,장창훈,NC,강남초-개군중-설악고-강릉영동대,,
,,13.0,전민재,롯데,천안남산초-천안북중-대전고-두산,,
,,34.0,전병우,삼성,동삼초-경남중-개성고-동아대-롯데-키움,,
,,47.0,전의산,상무,부산수영초-개성중-경남고-SK-상무,,
,,8.0,전준우,롯데,흥무초-경주중-경주고-건국대-롯데-경찰,,
,,97.0,전태현,키움,양덕초-마산동중-용마고,,
